Date	Total	Weekday	Month	Year	Holiday	PlusOne	MinusOne
2/20/2012	307	2	2	2012	1	0	1
2/21/2012	322	3	2	2012	1	1	0
2/22/2012	446	4	2	2012	0	1	0
2/23/2012	434	5	2	2012	0	0	0
2/24/2012	314	6	2	2012	0	0	0
2/25/2012	290	7	2	2012	0	0	0
2/26/2012	509	1	2	2012	0	0	0
2/27/2012	462	2	2	2012	0	0	0
2/28/2012	442	3	2	2012	0	0	0
2/29/2012	445	4	2	2012	0	0	0
3/1/2012	441	5	3	2012	0	0	0
3/2/2012	322	6	3	2012	0	0	0
3/3/2012	289	7	3	2012	0	0	0
3/4/2012	515	1	3	2012	0	0	0
3/5/2012	470	2	3	2012	0	0	0
3/6/2012	455	3	3	2012	0	0	0
3/7/2012	449	4	3	2012	0	0	0
3/8/2012	442	5	3	2012	0	0	0
3/9/2012	323	6	3	2012	0	0	0
3/10/2012	292	7	3	2012	0	0	0
3/11/2012	518	1	3	2012	0	0	0
3/12/2012	468	2	3	2012	0	0	0
3/13/2012	452	3	3	2012	0	0	0
3/14/2012	445	4	3	2012	0	0	0
3/15/2012	443	5	3	2012	0	0	0
3/16/2012	301	6	3	2012	0	0	1
3/17/2012	208	7	3	2012	1	0	0
3/18/2012	521	1	3	2012	0	1	0
3/19/2012	468	2	3	2012	0	0	0
3/20/2012	454	3	3	2012	0	0	0
3/21/2012	450	4	3	2012	0	0	0
3/22/2012	440	5	3	2012	0	0	0
3/23/2012	325	6	3	2012	0	0	0
3/24/2012	289	7	3	2012	0	0	0
3/25/2012	516	1	3	2012	0	0	0
3/26/2012	466	2	3	2012	0	0	0
3/27/2012	453	3	3	2012	0	0	0
3/28/2012	449	4	3	2012	0	0	0
3/29/2012	445	5	3	2012	0	0	0
3/30/2012	322	6	3	2012	0	0	0
3/31/2012	290	7	3	2012	0	0	0
4/1/2012	517	1	4	2012	0	0	0
4/2/2012	472	2	4	2012	0	0	0
4/3/2012	454	3	4	2012	0	0	0
4/4/2012	452	4	4	2012	0	0	0
4/5/2012	441	5	4	2012	0	0	0
4/6/2012	324	6	4	2012	0	0	0
4/7/2012	276	7	4	2012	0	0	1
4/8/2012	370	1	4	2012	1	0	0
4/9/2012	478	2	4	2012	0	1	0
4/10/2012	454	3	4	2012	0	0	0
4/11/2012	451	4	4	2012	0	0	0
4/12/2012	446	5	4	2012	0	0	0
4/13/2012	324	6	4	2012	0	0	0
4/14/2012	290	7	4	2012	0	0	0
4/15/2012	519	1	4	2012	0	0	0
4/16/2012	469	2	4	2012	0	0	0
4/17/2012	452	3	4	2012	0	0	0
4/18/2012	451	4	4	2012	0	0	0
4/19/2012	441	5	4	2012	0	0	0
4/20/2012	326	6	4	2012	0	0	0
4/21/2012	297	7	4	2012	0	0	0
4/22/2012	517	1	4	2012	0	0	0
4/23/2012	471	2	4	2012	0	0	0
4/24/2012	455	3	4	2012	0	0	0
4/25/2012	449	4	4	2012	0	0	0
4/26/2012	446	5	4	2012	0	0	0
4/27/2012	324	6	4	2012	0	0	0
4/28/2012	291	7	4	2012	0	0	0
4/29/2012	518	1	4	2012	0	0	0
4/30/2012	470	2	4	2012	0	0	0
5/1/2012	445	3	5	2012	0	0	0
5/2/2012	447	4	5	2012	0	0	0
5/3/2012	437	5	5	2012	0	0	0
5/4/2012	323	6	5	2012	0	0	0
5/5/2012	288	7	5	2012	0	0	0
5/6/2012	510	1	5	2012	0	0	0
5/7/2012	466	2	5	2012	0	0	0
5/8/2012	449	3	5	2012	0	0	0
5/9/2012	444	4	5	2012	0	0	0
5/10/2012	441	5	5	2012	0	0	0
5/11/2012	319	6	5	2012	0	0	0
5/12/2012	290	7	5	2012	0	0	0
5/13/2012	512	1	5	2012	0	0	0
5/14/2012	463	2	5	2012	0	0	0
5/15/2012	450	3	5	2012	0	0	0
5/16/2012	444	4	5	2012	0	0	0
5/17/2012	441	5	5	2012	0	0	0
5/18/2012	320	6	5	2012	0	0	0
5/19/2012	288	7	5	2012	0	0	0
5/20/2012	511	1	5	2012	0	0	0
5/21/2012	465	2	5	2012	0	0	0
5/22/2012	452	3	5	2012	0	0	0
5/23/2012	445	4	5	2012	0	0	0
5/24/2012	434	5	5	2012	0	0	0
5/25/2012	316	6	5	2012	0	0	0
5/26/2012	287	7	5	2012	0	0	0
5/27/2012	477	1	5	2012	0	0	1
5/28/2012	331	2	5	2012	1	0	0
5/29/2012	452	3	5	2012	0	1	0
5/30/2012	446	4	5	2012	0	0	0
5/31/2012	439	5	5	2012	0	0	0
6/1/2012	293	6	6	2012	0	0	0
6/2/2012	267	7	6	2012	0	0	0
6/3/2012	469	1	6	2012	0	0	0
6/4/2012	427	2	6	2012	0	0	0
6/5/2012	415	3	6	2012	0	0	0
6/6/2012	408	4	6	2012	0	0	0
6/7/2012	404	5	6	2012	0	0	0
6/8/2012	293	6	6	2012	0	0	0
6/9/2012	264	7	6	2012	0	0	0
6/10/2012	470	1	6	2012	0	0	0
6/11/2012	429	2	6	2012	0	0	0
6/12/2012	416	3	6	2012	0	0	0
6/13/2012	407	4	6	2012	0	0	0
6/14/2012	401	5	6	2012	0	0	0
6/15/2012	292	6	6	2012	0	0	0
6/16/2012	266	7	6	2012	0	0	0
6/17/2012	473	1	6	2012	0	0	0
6/18/2012	426	2	6	2012	0	0	0
6/19/2012	411	3	6	2012	0	0	0
6/20/2012	407	4	6	2012	0	0	0
6/21/2012	403	5	6	2012	0	0	0
6/22/2012	292	6	6	2012	0	0	0
6/23/2012	265	7	6	2012	0	0	0
6/24/2012	473	1	6	2012	0	0	0
6/25/2012	425	2	6	2012	0	0	0
6/26/2012	411	3	6	2012	0	0	0
6/27/2012	411	4	6	2012	0	0	0
6/28/2012	403	5	6	2012	0	0	0
6/29/2012	295	6	6	2012	0	0	0
6/30/2012	268	7	6	2012	0	0	0
7/1/2012	495	1	7	2012	0	0	0
7/2/2012	454	2	7	2012	0	0	0
7/3/2012	406	3	7	2012	0	0	1
7/4/2012	306	4	7	2012	1	0	0
7/5/2012	425	5	7	2012	0	1	0
7/6/2012	309	6	7	2012	0	0	0
7/7/2012	281	7	7	2012	0	0	0
7/8/2012	495	1	7	2012	0	0	0
7/9/2012	451	2	7	2012	0	0	0
7/10/2012	436	3	7	2012	0	0	0
7/11/2012	429	4	7	2012	0	0	0
7/12/2012	427	5	7	2012	0	0	0
7/13/2012	310	6	7	2012	0	0	0
7/14/2012	281	7	7	2012	0	0	0
7/15/2012	496	1	7	2012	0	0	0
7/16/2012	453	2	7	2012	0	0	0
7/17/2012	433	3	7	2012	0	0	0
7/18/2012	428	4	7	2012	0	0	0
7/19/2012	423	5	7	2012	0	0	0
7/20/2012	309	6	7	2012	0	0	0
7/21/2012	281	7	7	2012	0	0	0
7/22/2012	491	1	7	2012	0	0	0
7/23/2012	448	2	7	2012	0	0	0
7/24/2012	433	3	7	2012	0	0	0
7/25/2012	429	4	7	2012	0	0	0
7/26/2012	427	5	7	2012	0	0	0
7/27/2012	311	6	7	2012	0	0	0
7/28/2012	279	7	7	2012	0	0	0
7/29/2012	497	1	7	2012	0	0	0
7/30/2012	451	2	7	2012	0	0	0
7/31/2012	434	3	7	2012	0	0	0
8/1/2012	425	4	8	2012	0	0	0
8/2/2012	421	5	8	2012	0	0	0
8/3/2012	307	6	8	2012	0	0	0
8/4/2012	279	7	8	2012	0	0	0
8/5/2012	490	1	8	2012	0	0	0
8/6/2012	443	2	8	2012	0	0	0
8/7/2012	426	3	8	2012	0	0	0
8/8/2012	422	4	8	2012	0	0	0
8/9/2012	422	5	8	2012	0	0	0
8/10/2012	306	6	8	2012	0	0	0
8/11/2012	277	7	8	2012	0	0	0
8/12/2012	488	1	8	2012	0	0	0
8/13/2012	444	2	8	2012	0	0	0
8/14/2012	432	3	8	2012	0	0	0
8/15/2012	428	4	8	2012	0	0	0
8/16/2012	419	5	8	2012	0	0	0
8/17/2012	306	6	8	2012	0	0	0
8/18/2012	277	7	8	2012	0	0	0
8/19/2012	489	1	8	2012	0	0	0
8/20/2012	447	2	8	2012	0	0	0
8/21/2012	434	3	8	2012	0	0	0
8/22/2012	427	4	8	2012	0	0	0
8/23/2012	420	5	8	2012	0	0	0
8/24/2012	309	6	8	2012	0	0	0
8/25/2012	276	7	8	2012	0	0	0
8/26/2012	493	1	8	2012	0	0	0
8/27/2012	444	2	8	2012	0	0	0
8/28/2012	432	3	8	2012	0	0	0
8/29/2012	429	4	8	2012	0	0	0
8/30/2012	421	5	8	2012	0	0	0
8/31/2012	304	6	8	2012	0	0	0
9/1/2012	279	7	9	2012	0	0	0
9/2/2012	463	1	9	2012	0	0	1
9/3/2012	323	2	9	2012	1	0	0
9/4/2012	438	3	9	2012	0	1	0
9/5/2012	431	4	9	2012	0	0	0
9/6/2012	430	5	9	2012	0	0	0
9/7/2012	310	6	9	2012	0	0	0
9/8/2012	283	7	9	2012	0	0	0
9/9/2012	494	1	9	2012	0	0	0
9/10/2012	453	2	9	2012	0	0	0
9/11/2012	436	3	9	2012	0	0	0
9/12/2012	433	4	9	2012	0	0	0
9/13/2012	428	5	9	2012	0	0	0
9/14/2012	311	6	9	2012	0	0	0
9/15/2012	280	7	9	2012	0	0	0
9/16/2012	496	1	9	2012	0	0	0
9/17/2012	453	2	9	2012	0	0	0
9/18/2012	438	3	9	2012	0	0	0
9/19/2012	428	4	9	2012	0	0	0
9/20/2012	425	5	9	2012	0	0	0
9/21/2012	309	6	9	2012	0	0	0
9/22/2012	284	7	9	2012	0	0	0
9/23/2012	498	1	9	2012	0	0	0
9/24/2012	452	2	9	2012	0	0	0
9/25/2012	437	3	9	2012	0	0	0
9/26/2012	431	4	9	2012	0	0	0
9/27/2012	428	5	9	2012	0	0	0
9/28/2012	311	6	9	2012	0	0	0
9/29/2012	284	7	9	2012	0	0	0
9/30/2012	497	1	9	2012	0	0	0
10/1/2012	433	2	10	2012	0	0	0
10/2/2012	415	3	10	2012	0	0	0
10/3/2012	413	4	10	2012	0	0	0
10/4/2012	409	5	10	2012	0	0	0
10/5/2012	298	6	10	2012	0	0	0
10/6/2012	270	7	10	2012	0	0	0
10/7/2012	444	1	10	2012	0	0	1
10/8/2012	308	2	10	2012	1	0	0
10/9/2012	417	3	10	2012	0	1	0
10/10/2012	409	4	10	2012	0	0	0
10/11/2012	407	5	10	2012	0	0	0
10/12/2012	296	6	10	2012	0	0	0
10/13/2012	271	7	10	2012	0	0	0
10/14/2012	475	1	10	2012	0	0	0
10/15/2012	431	2	10	2012	0	0	0
10/16/2012	415	3	10	2012	0	0	0
10/17/2012	409	4	10	2012	0	0	0
10/18/2012	409	5	10	2012	0	0	0
10/19/2012	299	6	10	2012	0	0	0
10/20/2012	268	7	10	2012	0	0	0
10/21/2012	471	1	10	2012	0	0	0
10/22/2012	432	2	10	2012	0	0	0
10/23/2012	415	3	10	2012	0	0	0
10/24/2012	412	4	10	2012	0	0	0
10/25/2012	407	5	10	2012	0	0	0
10/26/2012	296	6	10	2012	0	0	0
10/27/2012	267	7	10	2012	0	0	0
10/28/2012	475	1	10	2012	0	0	0
10/29/2012	432	2	10	2012	0	0	0
10/30/2012	418	3	10	2012	0	0	0
10/31/2012	411	4	10	2012	0	0	0
11/1/2012	444	5	11	2012	0	0	0
11/2/2012	322	6	11	2012	0	0	0
11/3/2012	294	7	11	2012	0	0	0
11/4/2012	516	1	11	2012	0	0	0
11/5/2012	471	2	11	2012	0	0	0
11/6/2012	453	3	11	2012	0	0	0
11/7/2012	446	4	11	2012	0	0	0
11/8/2012	444	5	11	2012	0	0	0
11/9/2012	323	6	11	2012	0	0	0
11/10/2012	274	7	11	2012	0	0	1
11/11/2012	345	1	11	2012	1	0	1
11/12/2012	339	2	11	2012	1	1	0
11/13/2012	456	3	11	2012	0	1	0
11/14/2012	448	4	11	2012	0	0	0
11/15/2012	444	5	11	2012	0	0	0
11/16/2012	324	6	11	2012	0	0	0
11/17/2012	292	7	11	2012	0	0	0
11/18/2012	513	1	11	2012	0	0	0
11/19/2012	469	2	11	2012	0	0	0
11/20/2012	454	3	11	2012	0	0	0
11/21/2012	423	4	11	2012	0	0	1
11/22/2012	299	5	11	2012	1	0	1
11/23/2012	232	6	11	2012	1	1	0
11/24/2012	295	7	11	2012	0	1	0
11/25/2012	519	1	11	2012	0	0	0
11/26/2012	468	2	11	2012	0	0	0
11/27/2012	457	3	11	2012	0	0	0
11/28/2012	451	4	11	2012	0	0	0
11/29/2012	442	5	11	2012	0	0	0
11/30/2012	325	6	11	2012	0	0	0
12/1/2012	241	7	12	2012	0	0	0
12/2/2012	425	1	12	2012	0	0	0
12/3/2012	388	2	12	2012	0	0	0
12/4/2012	376	3	12	2012	0	0	0
12/5/2012	371	4	12	2012	0	0	0
12/6/2012	368	5	12	2012	0	0	0
12/7/2012	269	6	12	2012	0	0	0
12/8/2012	241	7	12	2012	0	0	0
12/9/2012	428	1	12	2012	0	0	0
12/10/2012	388	2	12	2012	0	0	0
12/11/2012	375	3	12	2012	0	0	0
12/12/2012	369	4	12	2012	0	0	0
12/13/2012	368	5	12	2012	0	0	0
12/14/2012	268	6	12	2012	0	0	0
12/15/2012	243	7	12	2012	0	0	0
12/16/2012	429	1	12	2012	0	0	0
12/17/2012	392	2	12	2012	0	0	0
12/18/2012	376	3	12	2012	0	0	0
12/19/2012	371	4	12	2012	0	0	0
12/20/2012	365	5	12	2012	0	0	0
12/21/2012	271	6	12	2012	0	0	0
12/22/2012	243	7	12	2012	0	0	0
12/23/2012	426	1	12	2012	0	0	0
12/24/2012	363	2	12	2012	0	0	1
12/25/2012	270	3	12	2012	1	0	0
12/26/2012	375	4	12	2012	0	1	0
12/27/2012	367	5	12	2012	0	0	0
12/28/2012	269	6	12	2012	0	0	0
12/29/2012	241	7	12	2012	0	0	0
12/30/2012	404	1	12	2012	0	0	1
12/31/2012	259	2	12	2012	1	0	1
1/1/2013	309	3	1	2013	1	1	0
1/2/2013	427	4	1	2013	0	1	0
1/3/2013	418	5	1	2013	0	0	0
1/4/2013	307	6	1	2013	0	0	0
1/5/2013	276	7	1	2013	0	0	0
1/6/2013	489	1	1	2013	0	0	0
1/7/2013	445	2	1	2013	0	0	0
1/8/2013	427	3	1	2013	0	0	0
1/9/2013	424	4	1	2013	0	0	0
1/10/2013	422	5	1	2013	0	0	0
1/11/2013	308	6	1	2013	0	0	0
1/12/2013	274	7	1	2013	0	0	0
1/13/2013	491	1	1	2013	0	0	0
1/14/2013	446	2	1	2013	0	0	0
1/15/2013	428	3	1	2013	0	0	0
1/16/2013	425	4	1	2013	0	0	0
1/17/2013	421	5	1	2013	0	0	0
1/18/2013	287	6	1	2013	0	0	1
1/19/2013	197	7	1	2013	1	0	0
1/20/2013	489	1	1	2013	0	1	0
1/21/2013	447	2	1	2013	0	0	0
1/22/2013	430	3	1	2013	0	0	0
1/23/2013	425	4	1	2013	0	0	0
1/24/2013	421	5	1	2013	0	0	0
1/25/2013	310	6	1	2013	0	0	0
1/26/2013	279	7	1	2013	0	0	0
1/27/2013	492	1	1	2013	0	0	0
1/28/2013	446	2	1	2013	0	0	0
1/29/2013	431	3	1	2013	0	0	0
1/30/2013	425	4	1	2013	0	0	0
1/31/2013	422	5	1	2013	0	0	0
2/1/2013	326	6	2	2013	0	0	0
2/2/2013	294	7	2	2013	0	0	0
2/3/2013	518	1	2	2013	0	0	0
2/4/2013	473	2	2	2013	0	0	0
2/5/2013	455	3	2	2013	0	0	0
2/6/2013	451	4	2	2013	0	0	0
2/7/2013	448	5	2	2013	0	0	0
2/8/2013	324	6	2	2013	0	0	0
2/9/2013	293	7	2	2013	0	0	0
2/10/2013	524	1	2	2013	0	0	0
2/11/2013	469	2	2	2013	0	0	0
2/12/2013	457	3	2	2013	0	0	0
2/13/2013	453	4	2	2013	0	0	0
2/14/2013	445	5	2	2013	0	0	0
2/15/2013	305	6	2	2013	0	0	1
2/16/2013	211	7	2	2013	1	0	0
2/17/2013	524	1	2	2013	0	1	0
2/18/2013	474	2	2	2013	0	0	0
2/19/2013	454	3	2	2013	0	0	0
2/20/2013	449	4	2	2013	0	0	0
2/21/2013	447	5	2	2013	0	0	0
2/22/2013	327	6	2	2013	0	0	0
2/23/2013	296	7	2	2013	0	0	0
2/24/2013	523	1	2	2013	0	0	0
2/25/2013	475	2	2	2013	0	0	0
2/26/2013	458	3	2	2013	0	0	0
2/27/2013	453	4	2	2013	0	0	0
2/28/2013	446	5	2	2013	0	0	0
3/1/2013	328	6	3	2013	0	0	0
3/2/2013	298	7	3	2013	0	0	0
3/3/2013	526	1	3	2013	0	0	0
3/4/2013	479	2	3	2013	0	0	0
3/5/2013	460	3	3	2013	0	0	0
3/6/2013	458	4	3	2013	0	0	0
3/7/2013	455	5	3	2013	0	0	0
3/8/2013	328	6	3	2013	0	0	0
3/9/2013	299	7	3	2013	0	0	0
3/10/2013	526	1	3	2013	0	0	0
3/11/2013	480	2	3	2013	0	0	0
3/12/2013	462	3	3	2013	0	0	0
3/13/2013	454	4	3	2013	0	0	0
3/14/2013	455	5	3	2013	0	0	0
3/15/2013	331	6	3	2013	0	0	0
3/16/2013	300	7	3	2013	0	0	0
3/17/2013	527	1	3	2013	0	0	0
3/18/2013	479	2	3	2013	0	0	0
3/19/2013	459	3	3	2013	0	0	0
3/20/2013	457	4	3	2013	0	0	0
3/21/2013	455	5	3	2013	0	0	0
3/22/2013	329	6	3	2013	0	0	0
3/23/2013	298	7	3	2013	0	0	0
3/24/2013	529	1	3	2013	0	0	0
3/25/2013	480	2	3	2013	0	0	0
3/26/2013	468	3	3	2013	0	0	0
3/27/2013	461	4	3	2013	0	0	0
3/28/2013	457	5	3	2013	0	0	0
3/29/2013	328	6	3	2013	0	0	0
3/30/2013	302	7	3	2013	0	0	0
3/31/2013	529	1	3	2013	0	0	0
4/1/2013	482	2	4	2013	0	0	0
4/2/2013	464	3	4	2013	0	0	0
4/3/2013	462	4	4	2013	0	0	0
4/4/2013	457	5	4	2013	0	0	0
4/5/2013	329	6	4	2013	0	0	0
4/6/2013	298	7	4	2013	0	0	0
4/7/2013	529	1	4	2013	0	0	0
4/8/2013	483	2	4	2013	0	0	0
4/9/2013	471	3	4	2013	0	0	0
4/10/2013	461	4	4	2013	0	0	0
4/11/2013	460	5	4	2013	0	0	0
4/12/2013	333	6	4	2013	0	0	0
4/13/2013	301	7	4	2013	0	0	0
4/14/2013	533	1	4	2013	0	0	0
4/15/2013	484	2	4	2013	0	0	0
4/16/2013	468	3	4	2013	0	0	0
4/17/2013	463	4	4	2013	0	0	0
4/18/2013	457	5	4	2013	0	0	0
4/19/2013	333	6	4	2013	0	0	0
4/20/2013	300	7	4	2013	0	0	0
4/21/2013	534	1	4	2013	0	0	0
4/22/2013	486	2	4	2013	0	0	0
4/23/2013	466	3	4	2013	0	0	0
4/24/2013	464	4	4	2013	0	0	0
4/25/2013	456	5	4	2013	0	0	0
4/26/2013	332	6	4	2013	0	0	0
4/27/2013	301	7	4	2013	0	0	0
4/28/2013	534	1	4	2013	0	0	0
4/29/2013	486	2	4	2013	0	0	0
4/30/2013	468	3	4	2013	0	0	0
5/1/2013	453	4	5	2013	0	0	0
5/2/2013	448	5	5	2013	0	0	0
5/3/2013	327	6	5	2013	0	0	0
5/4/2013	295	7	5	2013	0	0	0
5/5/2013	523	1	5	2013	0	0	0
5/6/2013	474	2	5	2013	0	0	0
5/7/2013	456	3	5	2013	0	0	0
5/8/2013	455	4	5	2013	0	0	0
5/9/2013	449	5	5	2013	0	0	0
5/10/2013	328	6	5	2013	0	0	0
5/11/2013	298	7	5	2013	0	0	0
5/12/2013	521	1	5	2013	0	0	0
5/13/2013	478	2	5	2013	0	0	0
5/14/2013	462	3	5	2013	0	0	0
5/15/2013	454	4	5	2013	0	0	0
5/16/2013	454	5	5	2013	0	0	0
5/17/2013	329	6	5	2013	0	0	0
5/18/2013	298	7	5	2013	0	0	0
5/19/2013	523	1	5	2013	0	0	0
5/20/2013	473	2	5	2013	0	0	0
5/21/2013	459	3	5	2013	0	0	0
5/22/2013	452	4	5	2013	0	0	0
5/23/2013	451	5	5	2013	0	0	0
5/24/2013	305	6	5	2013	0	0	1
5/25/2013	212	7	5	2013	1	0	0
5/26/2013	525	1	5	2013	0	1	0
5/27/2013	475	2	5	2013	0	0	0
5/28/2013	458	3	5	2013	0	0	0
5/29/2013	461	4	5	2013	0	0	0
5/30/2013	451	5	5	2013	0	0	0
5/31/2013	325	6	5	2013	0	0	0
6/1/2013	274	7	6	2013	0	0	0
6/2/2013	480	1	6	2013	0	0	0
6/3/2013	438	2	6	2013	0	0	0
6/4/2013	419	3	6	2013	0	0	0
6/5/2013	417	4	6	2013	0	0	0
6/6/2013	415	5	6	2013	0	0	0
6/7/2013	302	6	6	2013	0	0	0
6/8/2013	270	7	6	2013	0	0	0
6/9/2013	479	1	6	2013	0	0	0
6/10/2013	439	2	6	2013	0	0	0
6/11/2013	424	3	6	2013	0	0	0
6/12/2013	419	4	6	2013	0	0	0
6/13/2013	410	5	6	2013	0	0	0
6/14/2013	301	6	6	2013	0	0	0
6/15/2013	275	7	6	2013	0	0	0
6/16/2013	481	1	6	2013	0	0	0
6/17/2013	437	2	6	2013	0	0	0
6/18/2013	424	3	6	2013	0	0	0
6/19/2013	419	4	6	2013	0	0	0
6/20/2013	414	5	6	2013	0	0	0
6/21/2013	303	6	6	2013	0	0	0
6/22/2013	273	7	6	2013	0	0	0
6/23/2013	483	1	6	2013	0	0	0
6/24/2013	437	2	6	2013	0	0	0
6/25/2013	423	3	6	2013	0	0	0
6/26/2013	420	4	6	2013	0	0	0
6/27/2013	414	5	6	2013	0	0	0
6/28/2013	304	6	6	2013	0	0	0
6/29/2013	273	7	6	2013	0	0	0
6/30/2013	482	1	6	2013	0	0	0
7/1/2013	458	2	7	2013	0	0	0
7/2/2013	417	3	7	2013	0	0	1
7/3/2013	295	4	7	2013	1	0	1
7/4/2013	313	5	7	2013	1	1	0
7/5/2013	322	6	7	2013	0	1	0
7/6/2013	288	7	7	2013	0	0	0
7/7/2013	505	1	7	2013	0	0	0
7/8/2013	460	2	7	2013	0	0	0
7/9/2013	446	3	7	2013	0	0	0
7/10/2013	438	4	7	2013	0	0	0
7/11/2013	432	5	7	2013	0	0	0
7/12/2013	317	6	7	2013	0	0	0
7/13/2013	288	7	7	2013	0	0	0
7/14/2013	503	1	7	2013	0	0	0
7/15/2013	459	2	7	2013	0	0	0
7/16/2013	444	3	7	2013	0	0	0
7/17/2013	444	4	7	2013	0	0	0
7/18/2013	436	5	7	2013	0	0	0
7/19/2013	320	6	7	2013	0	0	0
7/20/2013	290	7	7	2013	0	0	0
7/21/2013	506	1	7	2013	0	0	0
7/22/2013	458	2	7	2013	0	0	0
7/23/2013	445	3	7	2013	0	0	0
7/24/2013	440	4	7	2013	0	0	0
7/25/2013	435	5	7	2013	0	0	0
7/26/2013	320	6	7	2013	0	0	0
7/27/2013	289	7	7	2013	0	0	0
7/28/2013	511	1	7	2013	0	0	0
7/29/2013	461	2	7	2013	0	0	0
7/30/2013	448	3	7	2013	0	0	0
7/31/2013	443	4	7	2013	0	0	0
8/1/2013	432	5	8	2013	0	0	0
8/2/2013	314	6	8	2013	0	0	0
8/3/2013	282	7	8	2013	0	0	0
8/4/2013	503	1	8	2013	0	0	0
8/5/2013	453	2	8	2013	0	0	0
8/6/2013	440	3	8	2013	0	0	0
8/7/2013	434	4	8	2013	0	0	0
8/8/2013	432	5	8	2013	0	0	0
8/9/2013	312	6	8	2013	0	0	0
8/10/2013	284	7	8	2013	0	0	0
8/11/2013	504	1	8	2013	0	0	0
8/12/2013	452	2	8	2013	0	0	0
8/13/2013	442	3	8	2013	0	0	0
8/14/2013	435	4	8	2013	0	0	0
8/15/2013	429	5	8	2013	0	0	0
8/16/2013	314	6	8	2013	0	0	0
8/17/2013	286	7	8	2013	0	0	0
8/18/2013	500	1	8	2013	0	0	0
8/19/2013	456	2	8	2013	0	0	0
8/20/2013	437	3	8	2013	0	0	0
8/21/2013	439	4	8	2013	0	0	0
8/22/2013	433	5	8	2013	0	0	0
8/23/2013	314	6	8	2013	0	0	0
8/24/2013	285	7	8	2013	0	0	0
8/25/2013	504	1	8	2013	0	0	0
8/26/2013	456	2	8	2013	0	0	0
8/27/2013	442	3	8	2013	0	0	0
8/28/2013	438	4	8	2013	0	0	0
8/29/2013	432	5	8	2013	0	0	0
8/30/2013	314	6	8	2013	0	0	0
8/31/2013	287	7	8	2013	0	0	0
9/1/2013	512	1	9	2013	0	0	0
9/2/2013	463	2	9	2013	0	0	0
9/3/2013	445	3	9	2013	0	0	0
9/4/2013	445	4	9	2013	0	0	0
9/5/2013	436	5	9	2013	0	0	0
9/6/2013	298	6	9	2013	0	0	1
9/7/2013	205	7	9	2013	1	0	0
9/8/2013	514	1	9	2013	0	1	0
9/9/2013	460	2	9	2013	0	0	0
9/10/2013	449	3	9	2013	0	0	0
9/11/2013	443	4	9	2013	0	0	0
9/12/2013	438	5	9	2013	0	0	0
9/13/2013	317	6	9	2013	0	0	0
9/14/2013	288	7	9	2013	0	0	0
9/15/2013	506	1	9	2013	0	0	0
9/16/2013	461	2	9	2013	0	0	0
9/17/2013	448	3	9	2013	0	0	0
9/18/2013	441	4	9	2013	0	0	0
9/19/2013	436	5	9	2013	0	0	0
9/20/2013	320	6	9	2013	0	0	0
9/21/2013	290	7	9	2013	0	0	0
9/22/2013	510	1	9	2013	0	0	0
9/23/2013	464	2	9	2013	0	0	0
9/24/2013	447	3	9	2013	0	0	0
